Date,Open,High,Low,Close,Adj Close,Volume
2017-06-15,67.44000244140625,69.0,64.44000244140625,68.19000244140625,68.19000244140625,6483
2017-06-16,69.0,70.19999694824219,66.0,66.0,66.0,10083
2017-06-19,66.05999755859375,67.62000274658203,62.52000045776367,63.18000030517578,63.18000030517578,6300
2017-06-20,64.5,64.5,63.0,63.0,63.0,1267
2017-06-21,62.400001525878906,62.880001068115234,61.54800033569336,62.880001068115234,62.880001068115234,1533
2017-06-22,61.560001373291016,62.880001068115234,60.84000015258789,62.81999969482422,62.81999969482422,1733
2017-06-23,62.220001220703125,63.0,62.220001220703125,62.400001525878906,62.400001525878906,817
2017-06-26,59.880001068115234,59.880001068115234,55.79999923706055,56.939998626708984,56.939998626708984,9083
2017-06-27,53.459999084472656,53.880001068115234,52.20000076293945,52.20000076293945,52.20000076293945,1500
2017-06-28,49.619998931884766,50.70000076293945,48.18000030517578,49.560001373291016,49.560001373291016,3300
2017-06-29,50.52000045776367,50.880001068115234,49.5,50.880001068115234,50.880001068115234,2150
2017-06-30,51.72600173950195,52.560001373291016,50.15999984741211,50.15999984741211,50.15999984741211,2833
2017-07-03,53.81999969482422,54.36000061035156,53.7599983215332,54.36000061035156,54.36000061035156,367
2017-07-05,59.58000183105469,62.70000076293945,58.20000076293945,60.599998474121094,60.599998474121094,3450
2017-07-06,57.41999816894531,60.599998474121094,55.02000045776367,60.0,60.0,2183
2017-07-07,60.599998474121094,60.599998474121094,59.099998474121094,60.47999954223633,60.47999954223633,133
2017-07-10,58.7400016784668,59.970001220703125,58.439998626708984,59.939998626708984,59.939998626708984,567
2017-07-11,57.29999923706055,57.29999923706055,56.051998138427734,57.0,57.0,567
2017-07-12,53.58000183105469,55.13999938964844,52.86000061035156,53.7599983215332,53.7599983215332,2517
2017-07-13,52.86000061035156,52.86000061035156,51.402000427246094,51.61199951171875,51.61199951171875,5433
2017-07-14,52.79999923706055,53.7599983215332,52.757999420166016,52.757999420166016,52.757999420166016,717
2017-07-17,54.41999816894531,54.41999816894531,53.400001525878906,54.0,54.0,700
2017-07-18,52.7400016784668,54.0,52.45199966430664,52.5,52.5,3367
2017-07-19,53.15999984741211,53.15999984741211,51.060001373291016,52.5,52.5,1583
2017-07-20,51.18000030517578,53.70000076293945,50.7599983215332,51.599998474121094,51.599998474121094,1800
2017-07-21,52.86000061035156,52.86000061035156,51.29999923706055,51.29999923706055,51.29999923706055,267
2017-07-24,50.70000076293945,50.70000076293945,50.52000045776367,50.52000045776367,50.52000045776367,633
